1,1,10,6,6
2,2,7,6,6
3,2,8,2,6
4,2,10,6,6
5,2,8,6,6
6,3,7,3,6
7,3,7,3,6
8,4,6,5,6
9,4,6,3,6
10,5,9,6,6
11,5,10,3,6
12,5,8,4,6
13,5,6,6,6
14,5,10,6,6
15,6,8,3,6
16,6,8,5,6
17,6,6,5,6
18,6,6,2,6
19,6,8,3,6
20,7,9,1,6
21,7,10,4,6
22,7,6,3,6
23,8,6,4,6
24,8,7,3,6
25,8,8,6,6
26,8,10,6,6
27,9,7,4,6
28,9,7,6,6
29,9,10,6,6
30,9,6,6,6
31,9,9,5,6
32,10,6,6,6
33,11,7,2,6
34,11,6,2,6
35,11,8,6,6
36,11,7,6,6
37,12,7,6,6
38,12,10,1,6
39,13,10,1,6
40,13,8,2,6
41,13,7,1,6
42,14,7,6,6
43,14,10,4,6
44,14,8,2,6
45,14,8,3,6
46,15,9,2,6
47,15,7,6,6
48,15,10,4,6
49,15,8,1,6
50,16,7,1,6
51,16,7,4,6
52,16,7,6,6
53,16,7,1,6
54,16,7,6,6
55,17,10,3,6
56,17,6,6,6
57,17,6,2,6
58,17,6,1,6
59,17,9,6,6
60,18,10,3,6
61,19,8,5,6
62,19,7,4,6
63,19,10,3,6
64,20,8,3,6
65,20,9,2,6
66,20,8,1,6
